,SDO_ID,Longitude,Latitude
292,1051,13.774985,51.024829
293,3739,12.436546,49.452096
294,2014,9.677917,52.464425
295,3204,10.881516,50.733481
296,5146,10.528857,52.941435
297,13711,11.515024,50.681954
298,617,6.886297,51.873046
299,3490,7.085337,50.534561
300,3540,7.371973,50.844636
301,1957,11.949933,51.513769
302,7374,6.940893,52.0813
303,7420,11.711157,51.10439
304,1443,7.834292,48.023242
305,979,8.267238,50.736371
306,5792,10.984761,47.421037
307,3603,9.966667,49.389528
308,4411,8.967056,49.919503
309,4261,12.127976,47.875339
310,298,12.710848,54.340527
311,5440,10.930837,49.01153
312,15444,9.92161,48.441772
313,5142,14.069699,53.744431
314,7394,11.974501,50.031507
315,1262,11.813385,48.347741
316,2961,10.273687,54.499614
317,1001,13.574714,51.645071
318,2597,10.079245,50.223991
319,3545,7.229738,49.343983
320,5825,12.786684,52.619829
321,3485,10.377302,48.31145
322,850,10.029573,52.595933
323,1270,10.960808,50.982859
324,3639,8.658329,53.764673
325,5424,11.354409,51.01765
326,7373,6.702358,53.598388
327,2362,7.484345,50.565053
328,2629,6.095381,51.761242
329,5692,8.365906,49.605078
330,5480,7.887922,51.576347
331,5158,11.175899,52.160135
332,991,13.708675,50.911626
333,259,7.638655,47.806372
334,1228,6.346049,54.165071
335,7343,13.481701,50.619956
336,2814,9.764464,48.512126
337,2601,8.446886,50.221796
338,2953,8.230786,47.859695
339,4189,9.459634,48.147883
340,6344,8.142276,50.393972
341,4911,12.559695,48.827504
342,6262,9.873721,48.769459
343,3196,11.931949,53.322288
344,6347,10.297177,50.057935
345,320,11.519692,49.96667
346,2115,7.891995,54.174971
347,420,13.559774,52.544749
348,2261,11.876039,50.312257
349,5930,10.02377,54.640986
350,3376,14.123226,52.517588
351,3244,10.138397,47.982038
352,294,9.429984,52.31985
353,13965,8.813418,48.263864
354,3875,11.689638,49.15102
355,3023,7.308057,52.518093
356,3513,11.134394,50.500232
357,5715,9.431127,52.46051
358,377,7.996749,49.107025
359,1303,6.967741,51.404085
360,4301,7.871018,49.850173
361,4063,8.590574,52.446122
362,3126,11.582678,52.102889
363,13700,7.341099,51.332896
364,3811,13.092837,51.295965
365,1602,7.993002,48.432972
366,1424,8.669403,50.126906
367,3925,8.69727,48.93291
368,4763,9.926618,51.060686
369,4354,13.314592,48.783156
370,5562,8.680095,48.651551
371,1694,12.103404,53.605834
372,5800,13.238509,49.028013
373,142,11.311694,48.406036
374,6199,13.041849,54.248388
375,7424,12.907282,47.77239
376,1357,11.837637,49.98069
377,3897,10.877341,54.08933
378,1526,9.65325,50.566806
379,2627,13.884528,51.555433
380,2700,11.487243,48.830189
381,3667,11.253831,49.425781
382,1339,10.188545,52.915652
383,2444,11.582984,50.925141
384,4745,9.793049,52.960408
385,7321,11.332074,51.150665
386,13777,10.959196,52.246667
387,3137,8.213852,49.965563
388,2968,6.977688,50.989428
389,445,11.71098,51.821792
390,6264,8.649983,51.413998
391,5750,12.14949,51.031411
392,1197,10.131234,48.989498
393,91,9.344972,50.744591
394,3268,8.943253,48.169359
395,3284,9.008549,49.669107
396,4703,9.194326,48.071864
397,7410,9.02243,50.75133
398,5111,12.539575,48.031106
399,7187,9.406268,49.763623
400,4625,11.387203,53.642521
401,7319,10.739322,48.737412
402,983,10.55985,48.556225
